# GoodbyeAds YouTube Core Bloclist
#
# GoodbyeAds is Specially Designed for Mobile Ad Protection.
#
# Github : https://github.com/jerryn70/GoodbyeAds
# Telegram : https://t.me/GoodbyeAds
# XDA : https://forum.xda-developers.com/android/software-hacking/goodbye-ads-advanced-protection-ads-ad-t3827269
#
# Type : GoodbyeAds-YouTube-Core Blocklist
# Updated On: 21-07-2020 
# Created by:Jerryn70 (XDA Senior Member)

# Stage 7..
# Phase 1
0.0.0.0 r1---sn-gh52baxn.googlevideo.com
0.0.0.0 r1---sn-4mk4mzos.googlevideo.com
0.0.0.0 r1---sn-3zaehnkr.googlevideo.com
0.0.0.0 r1---sn-no4we21q.googlevideo.com
0.0.0.0 r1---sn-hl7gaeep.googlevideo.com
0.0.0.0 r1---sn-beo668yk.googlevideo.com
0.0.0.0 r1---sn-1ljlioh2.googlevideo.com
0.0.0.0 r1---sn-6movfbic.googlevideo.com
0.0.0.0 r1---sn-u2va1hrx.googlevideo.com
0.0.0.0 r1---sn-usdc7mun.googlevideo.com
0.0.0.0 r1---sn-xt42soh1.googlevideo.com
0.0.0.0 r1---sn-efjvyqka.googlevideo.com
0.0.0.0 r1---sn-5mldmxrt.googlevideo.com
0.0.0.0 r1---sn-2tzyle3s.googlevideo.com
0.0.0.0 r1---sn-1a7ugprf.googlevideo.com
0.0.0.0 r1---sn-u35v748e.googlevideo.com
0.0.0.0 r1---sn-idgubqba.googlevideo.com
0.0.0.0 r1---sn-bk87xrpa.googlevideo.com
0.0.0.0 r1---sn-ky4xsy2o.googlevideo.com
0.0.0.0 r1---sn-3frr24v6.googlevideo.com
0.0.0.0 r1---sn-uuqi6irk.googlevideo.com
0.0.0.0 r1---sn-86s5psqc.googlevideo.com
0.0.0.0 r1---sn-n5khajtr.googlevideo.com
0.0.0.0 r1---sn-jzz47rhf.googlevideo.com
0.0.0.0 r1---sn-wbmcbgcc.googlevideo.com
0.0.0.0 r1---sn-hsyuf67j.googlevideo.com
0.0.0.0 r1---sn-wpe6tn6k.googlevideo.com
0.0.0.0 r1---sn-b78fqvmp.googlevideo.com
0.0.0.0 r1---sn-ynhogobg.googlevideo.com
0.0.0.0 r1---sn-2iaqs7ml.googlevideo.com
0.0.0.0 r1---sn-1qhqnjui.googlevideo.com
0.0.0.0 r1---sn-ebbch5ut.googlevideo.com
0.0.0.0 r1---sn-fj51xsdi.googlevideo.com
0.0.0.0 r1---sn-n6dkno1c.googlevideo.com
0.0.0.0 r1---sn-tvmao4co.googlevideo.com
0.0.0.0 r1---sn-17jem876.googlevideo.com
0.0.0.0 r1---sn-wokjcuvi.googlevideo.com
0.0.0.0 r1---sn-m7dpgj4x.googlevideo.com
0.0.0.0 r1---sn-j7qurufk.googlevideo.com
0.0.0.0 r1---sn-hp8zi84o.googlevideo.com
0.0.0.0 r1---sn-8gw8eq88.googlevideo.com
0.0.0.0 r1---sn-8evq1uiq.googlevideo.com
0.0.0.0 r1---sn-du3oqmnc.googlevideo.com
0.0.0.0 r1---sn-jacvu58n.googlevideo.com
0.0.0.0 r1---sn-cwq8v5t1.googlevideo.com
0.0.0.0 r1---sn-7rum7wsu.googlevideo.com
0.0.0.0 r1---sn-gqvwep7u.googlevideo.com
0.0.0.0 r1---sn-2txeommc.googlevideo.com
0.0.0.0 r1---sn-fiodej3h.googlevideo.com
0.0.0.0 r1---sn-bbp71adv.googlevideo.com
0.0.0.0 r1---sn-pppejkiu.googlevideo.com
0.0.0.0 r1---sn-y5gcgomt.googlevideo.com
0.0.0.0 r1---sn-frhyiop5.googlevideo.com
0.0.0.0 r1---sn-wnvc8821.googlevideo.com
0.0.0.0 r1---sn-pcw76i23.googlevideo.com
0.0.0.0 r1---sn-82nid1bu.googlevideo.com
0.0.0.0 r1---sn-x52i1nmb.googlevideo.com
0.0.0.0 r1---sn-8sp4wfvy.googlevideo.com
0.0.0.0 r1---sn-cnue1nw6.googlevideo.com
0.0.0.0 r1---sn-xmyobh24.googlevideo.com
